slot,indexed_filename,friendly_label,source_relative_path,size_bytes,sha256
72,0072_ATW_Soundthinker_05_PRG.HFE,ATW Soundthinker 05_PRG,ATW/Soundthinker/05_PRG.HFE,2049024,96cc1049ed3491a049ab15acd5f75af303d863f9da808b9cf6f263a8d8e8da85
73,0073_ATW_Soundthinker_06_PRG.HFE,ATW Soundthinker 06_PRG,ATW/Soundthinker/06_PRG.HFE,2049024,f088668f8e0ed3b7ffbed2ace03611d75cd99c8617e3118b780ef218c39c0903
74,0074_ATW_Soundthinker_07_PRG.HFE,ATW Soundthinker 07_PRG,ATW/Soundthinker/07_PRG.HFE,2049024,30d3877a47b2da2dae64f7337e070fd9bca48e87d9bc126ae7357c796b9ecb3c
75,0075_ATW_Soundthinker_08_PRG.HFE,ATW Soundthinker 08_PRG,ATW/Soundthinker/08_PRG.HFE,2049024,7fe263908eec764e4e5f672417fd1fff33bb6d08127cebe976b336f2dc9c1c83
76,0076_ATW_Soundthinker_09_PRG.HFE,ATW Soundthinker 09_PRG,ATW/Soundthinker/09_PRG.HFE,2049024,e98daad50b2aae75ff68c6d5105ea6619bb38de9598b8f0cca971a0b9a91a40f
77,0077_ATW_Soundthinker_10_PRG.HFE,ATW Soundthinker 10_PRG,ATW/Soundthinker/10_PRG.HFE,2049024,7feabc3593e3fd3013de4107853054c701a9229f68f056c449177122f20b836a
78,0078_ATW_Soundthinker_11_PRG.HFE,ATW Soundthinker 11_PRG,ATW/Soundthinker/11_PRG.HFE,2049024,69fb56ba4aab6c463cf23aadf13a6111ad2ed9bd8321f189e3babec40379bcc7
79,0079_ATW_Soundthinker_12_PRG.HFE,ATW Soundthinker 12_PRG,ATW/Soundthinker/12_PRG.HFE,2049024,0bf72a6bc16cdc6154d707ce459c7bf738b45dddb0265311a3b2cf4e864d2e4f
80,0080_ATW_Soundthinker_13_PRG.HFE,ATW Soundthinker 13_PRG,ATW/Soundthinker/13_PRG.HFE,2049024,c81db219ac5e87c04880acf482969c0efe4f6586a8d8f8bb5e7cd16f5c1b8e74
81,0081_ATW_Soundthinker_14_PRG.HFE,ATW Soundthinker 14_PRG,ATW/Soundthinker/14_PRG.HFE,2049024,7204a0d774de79c8618f603f6b61cbabfe2c9f193a4d9560e492a7137908bd79
82,0082_ATW_Soundthinker_15_PRG.HFE,ATW Soundthinker 15_PRG,ATW/Soundthinker/15_PRG.HFE,2049024,bd081b7dd6bd54ffe5a01868cc1579b9a49fa6258e9f4f950b264de69439b54e
83,0083_ATW_Soundthinker_16_PRG.HFE,ATW Soundthinker 16_PRG,ATW/Soundthinker/16_PRG.HFE,2049024,d50c068aeffa63f0fb915dfd5023ba81cdecd6bb5963db4c0a9a83988f1ab119
84,0084_ATW_Soundthinker_17_PRG.HFE,ATW Soundthinker 17_PRG,ATW/Soundthinker/17_PRG.HFE,2049024,563700715d6fca71d868ca6fe8bbe28bc00ad938d00deaf228fddfc8f3a03216
85,0085_ATW_Soundthinker_18_PRG.HFE,ATW Soundthinker 18_PRG,ATW/Soundthinker/18_PRG.HFE,2049024,710795b61237091884725a5ee8c3d38b3b21752a45716d64e3cf5c7a907e3f00
86,0086_ATW_Soundthinker_19_PRG.HFE,ATW Soundthinker 19_PRG,ATW/Soundthinker/19_PRG.HFE,2049024,523fee43e9af28361be230157ff95aaa8596b3c451179c7a1c084eadc6a970db
87,0087_ATW_Soundthinker_20_PRG.HFE,ATW Soundthinker 20_PRG,ATW/Soundthinker/20_PRG.HFE,2049024,bd9475f1bbeadf976d7a8b28312c15072794062fae87098d304f3b1a5cc5fbd9
